Package                       Version             Latest     Type
sphinxcontrib-htmlhelp        1.0.3               2.0.0      wheel
sphinxcontrib-serializinghtml 1.1.4               1.1.5      wheel
spyder                        4.2.5               5.2.1      wheel
spyder-kernels                1.10.2              2.2.0      wheel
SQLAlchemy                    1.4.7               1.4.29     wheel
starlette                     0.16.0              0.17.1     wheel
statsmodels                   0.12.2              0.13.1     wheel
sympy                         1.8                 1.9        wheel
tables                        3.6.1               3.7.0      wheel
terminado                     0.9.4               0.12.1     wheel
testpath                      0.4.4               0.5.0      wheel
textdistance                  4.2.1               4.2.2      wheel
threadpoolctl                 2.1.0               3.0.0      wheel
tifffile                      2020.10.1           2021.11.2  wheel
toolz                         0.11.1              0.11.2     wheel
tqdm                          4.59.0              4.62.3     wheel
traitlets                     5.0.5               5.1.1      wheel
typed-ast                     1.4.2               1.5.1      wheel
typing-extensions             3.7.4.3             4.0.1      wheel
ujson                         4.0.2               5.1.0      wheel
urllib3                       1.26.4              1.26.8     wheel
wandb                         0.12.4              0.12.9     wheel
watchdog                      1.0.2               2.1.6      wheel
Werkzeug                      1.0.1               2.0.2      wheel
wheel                         0.36.2              0.37.1     wheel
widgetsnbextension            3.5.1               3.5.2      wheel
wrapt                         1.12.1              1.13.3     wheel
wurlitzer                     2.1.0               3.0.2      wheel
XlsxWriter                    1.3.8               3.0.2      wheel
xlwings                       0.23.0              0.25.3     sdist
yapf                          0.31.0              0.32.0     wheel
zipp                          3.4.1               3.7.0      wheel
zope.interface                5.3.0               5.4.0      wheel
